=== FINAL EPOCH EVALUATION RESULTS ===
SNR (dB):             -10
Input Type:           ls
Loss Type:            combined
Standardize:          True
Best Training Epoch:  200

--- TRAIN SET METRICS ---
LI Benchmark MMSE:    3.204794e-18
HA02 Output MMSE:     7.143159e-21
LMMSE Baseline MMSE:  4.742638e-20
LI Benchmark NMSE:    1.262105e+01 (11.01 dB)
HA02 Output NMSE:     2.813104e-02 (-15.51 dB)
LMMSE Baseline NMSE:  1.867736e-01 (-7.29 dB)
LI Benchmark SSIM:    0.0035
HA02 Output SSIM:     0.8761
LMMSE Baseline SSIM:  0.6826

--- VALIDATION SET METRICS ---
LI Benchmark MMSE:    3.003104e-18
HA02 Output MMSE:     6.890017e-20
LMMSE Baseline MMSE:  4.600152e-20
LI Benchmark NMSE:    1.271525e+01 (11.04 dB)
HA02 Output NMSE:     2.917257e-01 (-5.35 dB)
LMMSE Baseline NMSE:  1.947720e-01 (-7.10 dB)
LI Benchmark SSIM:    0.0037
HA02 Output SSIM:     0.5738
LMMSE Baseline SSIM:  0.6740

--- TEST SET METRICS ---
LI Benchmark MMSE:    3.008197e-18
HA02 Output MMSE:     7.242255e-20
LMMSE Baseline MMSE:  5.322081e-20
LI Benchmark NMSE:    1.196450e+01 (10.78 dB)
HA02 Output NMSE:     2.880462e-01 (-5.41 dB)
LMMSE Baseline NMSE:  2.116752e-01 (-6.74 dB)
LI Benchmark SSIM:    0.0029
HA02 Output SSIM:     0.5988
LMMSE Baseline SSIM:  0.6841
